Gss year for this respondent                       ,Denied raise without reason at work,Promotions are handled fairly,A woman won't get a job or promotion             ,A man won't get a job or promotion  ,For or against preferential hiring of women      ,Favor preferences in hiring blacks,Sex makes your promotion different,Whites hurt by aff. action,Respondent id number,Ballot used for interview
2014,Not applicable,Very true,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Not applicable,91,Ballot b
2014,Not applicable,Not applicable,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,92,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,93,Ballot c
2014,Not applicable,Very true,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not applicable,94,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,95,Ballot b
2014,Not applicable,Somewhat true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,96,Ballot a
2014,Not applicable,Very true,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,97,Ballot a
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,98,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,99,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not applicable,100,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Very unlikely,Strongly against,Not applicable,Not applicable,Not applicable,101,Ballot b
2014,Not applicable,Not at all true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,102,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,103,Ballot c
2014,Not applicable,Not too true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,104,Ballot b
2014,Not applicable,Not too true,Not applicable,Somewhat unlikely,For,Not applicable,Not applicable,Not very likely,105,Ballot a
2014,Not applicable,Very true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not applicable,106,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not applicable,107,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly against,Not applicable,Not applicable,Not applicable,108,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,For,Not applicable,Not applicable,Not applicable,109,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Against,Not applicable,Not applicable,Not applicable,110,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Not very likely,111,Ballot a
2014,Not applicable,Not too true,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Not applicable,112,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,113,Ballot a
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,114,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Don't know,Not applicable,Not applicable,Somewhat likely,115,Ballot a
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,116,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly against,Not applicable,Not applicable,Not applicable,117,Ballot b
2014,Not applicable,Not too true,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not very likely,118,Ballot a
2014,Not applicable,Somewhat true,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,119,Ballot a
2014,Not applicable,Very true,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not very likely,120,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,121,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,122,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,123,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Not applicable,124,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,125,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,126,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,127,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,128,Ballot c
2014,Not applicable,Not at all true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,129,Ballot a
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Very likely,130,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,131,Ballot c
2014,Not applicable,Not too true,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,132,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,133,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,134,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not applicable,135,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,136,Ballot a
2014,Not applicable,Dont know,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,137,Ballot a
2014,Not applicable,Not applicable,Not applicable,Dont know,Strongly against,Not applicable,Not applicable,Dont know,138,Ballot a
2014,Not applicable,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,139,Ballot a
2014,Not applicable,Somewhat true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,140,Ballot a
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Not applicable,141,Ballot b
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,142,Ballot c
2014,Not applicable,Not at all true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,143,Ballot b
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,144,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,145,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,146,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,147,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,148,Ballot c
2014,Not applicable,Very true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,149,Ballot b
2014,Not applicable,Very true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,150,Ballot b
2014,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,151,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,152,Ballot c
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,153,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,154,Ballot a
2014,Not applicable,Dont know,Not applicable,Dont know,Strongly for,Not applicable,Not applicable,Not applicable,155,Ballot b
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,156,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Very likely,Strongly against,Not applicable,Not applicable,Somewhat likely,157,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Somewhat likely,158,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,159,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Don't know,Not applicable,Not applicable,Not applicable,160,Ballot b
2014,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,161,Ballot c
2014,Not applicable,Dont know,Not applicable,Very unlikely,Strongly against,Not applicable,Not applicable,Not applicable,162,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,163,Ballot c
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,164,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,165,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,166,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,167,Ballot a
2014,Not applicable,Not applicable,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,168,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,169,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,170,Ballot b
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,171,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,172,Ballot c
2014,Not applicable,No answer,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,173,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,174,Ballot a
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,175,Ballot a
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,176,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,177,Ballot c
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,178,Ballot c
2014,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,179,Ballot c
2014,Not applicable,Not at all true,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Dont know,180,Ballot a
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,181,Ballot b
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,182,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,183,Ballot c
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Somewhat likely,184,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Very likely,185,Ballot a
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,186,Ballot c
2014,Not applicable,Very true,Not applicable,Very likely,Against,Not applicable,Not applicable,Not applicable,187,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,188,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,189,Ballot a
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,190,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,191,Ballot c
2014,Not applicable,Very true,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Not applicable,192,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,193,Ballot c
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,194,Ballot c
2014,Not applicable,Not too true,Not applicable,Very unlikely,Strongly against,Not applicable,Not applicable,Not applicable,195,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,196,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Not applicable,197,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,198,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not applicable,199,Ballot b
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,200,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,201,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,202,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,203,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,204,Ballot a
2014,Not applicable,Dont know,Not applicable,Somewhat unlikely,For,Not applicable,Not applicable,Not very likely,205,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not applicable,206,Ballot b
2014,Not applicable,Not at all true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,207,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,208,Ballot c
2014,Not applicable,Not too true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,209,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Not applicable,210,Ballot b
2014,Not applicable,Dont know,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Very likely,211,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,212,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,213,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,214,Ballot b
2014,Not applicable,Not at all true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,215,Ballot b
